University,Abbreviation,Department,Course title,Unit,Professor,Objective,Prerequisite,Required Skills,Outcome,References,Scores,Description,Projects,University Homepage,Course Homepage,Professor Homepage
University of Newcastle,NU,Arts and Cultures,Art since 1945: Postwar to Pluralism,20,Dr Stephen Moonie,"The course aims to provide students with an understanding of major developments in Western European and American art from the end of World War II to the counter-cultural and protest events centred on Paris in 1968. Students will investigate the impact of events, ideologies and philosophies, as well as shifts in artistic practice. Students will develop an understanding of key works, movements, theories and ideas including Abstract Expressionism, Pop Art, Art Brut, Nouveau Realisme, The Independent Group, Happenings and the work of artists such as Joseph Beuys. During their study of these, students will enhance their critical and art historical tools to analyse formative influences on the shift from modernist to postmodernist forms of art during the period.",,,,,,"The module will revolve around weekly lecture materials, delivered both in person, and online via Recap. These will be supplemented by in-person seminars and asynchronous structured learning activities in order to foster group discussion and analysis.

Lectures: to allow definition of the scope of the syllabus, an introduction to a body of knowledge, and modeling of the level and nature of the analysis required.

Online lecture materials shared via ReCap: to allow definition of the scope of the syllabus, an introduction to a body of knowledge, and modelling of the level and nature of the analysis required. These are broken down into smaller sections for ease of online digestion.

Seminars: to encourage interaction and the development of cognitive and key skills; to allow preparation and presentation of directed research on specific issues and case studies.

Asynchronous structured learning activities: to develop essay writing skills, visual analysis, and better encourage interaction between peers in their analysis and discussion of the course content.

Nb. In person lectures and seminars can move to synchronous and asynchronous online delivery as required in response to pandemic-related restrictions.","The course work affords students the opportunity to conduct research with seminar and peer support into particular areas of interest, to develop their organizational and presentational skills, and then to demonstrate their ability to think independently in using their group-work to inform their individual essay. 

The essay demonstrates the student’s ability to set their own question and to absorb and critique information and then present an argument in relation to a specific topic. It demonstrates the student’s ability to relay an argument in a clear manner using appropriate academic writing skills. 

The textual analysis requires the students to provide a short synopsis of a set text. This is an essential research skill which tests their ability to read a text closely and explicate it, and which will be required when developing the assessed essay. Written feedback is provided which assists the student to apply the experience of this formative exercise to the summative essay assignment.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/sacs/,
University of Newcastle,NU,Arts and Cultures,Contemporary Art and Globalisation,20,Dr Katarzyna Falecka,"In the 1980s, the idea of national schools of art gave way to the notion of a “global” contemporary art. Biennials, international events and the internet have all drawn artists into globalised networks of art-world attention and opened up possibilities for collaboration. At the same time, global inequalities, neoliberal policies and neo-colonial politics continue to shape the art world. This course will explore the manner in which globalisation has both shaped and itself become a theme in artistic production that intentionally reviews its own conditions and parameters. It will introduce students to theoretical concepts surrounding globalisation and their implications for artistic practice. Particular areas of focus will include the rise of the biennial and international exhibitions, the possibilities for the exercise of the political in contemporary art, articulations of migration and displacement through the visual, the impact of digitisation on art production and reception, as well as the emergence of the “archival turn”.",,,,,,"1. Lectures: to allow definition of the scope of the syllabus, an introduction to a body of knowledge, and modelling of the level and nature of the analysis required. PIP lectures will be supplemented with online material (in the form of pre-recorded lecture materials, relevant videos, etc.) to make the module content more accessible, manageable and digestible. 

2. Seminars: to encourage interaction and the development of cognitive and key skills; to allow preparation and presentation of directed research on specific issues and case studies. Seminars help to foster collegiality among the cohort and are an important supplement to the teaching delivered by group discussions.

3. Canvas discussion groups: to allow for more innovative, interactive and cross-curricular teaching.

Nb. In person lectures and seminars can move to synchronous and asynchronous online delivery as required in response to pandemic-related restrictions.","The Essay affords students the opportunity to conduct academic research into a topic of their choice relating to the module content, with the question(s) set by the module leader. The questions encourage students to engage closely with the key topics, critical ideas and practices studied on the module curriculum. The assessment will be supported by critical discussions undertaken during the seminars and/or discussion boards. The assignment is designed to develop critical thinking, the ability to develop an argument, writing skills, visual analysis and theoretical comprehension. 

The Visual Analysis Case Study offers students the chance to hone writing and analytical skills in advance of the essay in a formative and less pressurised context. The formative nature of the assessment will permit faster feedback, allowing the case study analysis to feed fully into the summative essay.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/sacs/,
University of Newcastle,NU,Arts and Cultures,Histories of Photography,20,Dr Katarzyna Falecka,"Since its invention in the nineteenth century, photography has been the subject of contentious debates. Is photography an art? Is it – was it – a threat to art? Is photography something closer to a tool or technology? Is it media? This course will consider several key episodes in the histories of photography in relation to how the medium has been theorised and historicised by critics, scientists, photographers and art historians. It will focus on photography’s relationship with theories of the modern and postmodern, exploring how photographic practices were both shaped by and contributed to discourses surrounding technology, gender, memory, mass culture, conflict, race and class. Integral to this will be a consideration of how photography became absorbed by museums of modern and contemporary art, while also being capable of engaging in institutional critique. Through case studies drawn from histories of photography in Africa, Europe and the US, the course will encourage engagement with photography’s cultural, social and political significance.",,,,,,"1. Lectures: to allow definition of the scope of the syllabus, an introduction to a body of knowledge, and modelling of the level and nature of the analysis required. PIP lectures will be supplemented with online material (in the form of pre-recorded lecture materials, relevant videos, etc.) to make the module content more accessible, manageable and digestible. 

2. Seminars: to encourage interaction and the development of cognitive and key skills; to allow preparation and presentation of directed research on specific issues and case studies. Seminars help to foster collegiality among the cohort and are an important supplement to the teaching delivered by group discussions.

3. Canvas discussion groups: to allow for more innovative, interactive and cross-curricular teaching.

Nb. In person lectures and seminars can move to synchronous and asynchronous online delivery as required in response to pandemic-related restrictions.","The essay affords the student the opportunity to conduct academic research into a topic of their choice relating to the module content, with the question(s) set by the module leader. The questions encourage students to engage closely with the key topics, critical ideas and practices studied on the module curriculum. The assessment will be supported by critical discussions undertaken during the seminars and/or discussion boards. The assignment is designed to develop critical thinking, the ability to develop an argument, writing skills, visual analysis and theoretical comprehension. 

The Case Study offers students the chance to hone writing and analytical skills in advance of the essay in a formative and less pressurised context. The formative nature of the assessment will permit faster feedback, allowing the case study analysis to feed fully into the summative essay.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/sacs/,
University of Newcastle,NU,Arts and Cultures,Fleshful Things: The Body and Visual Art,20,Dr Edward Juler,"Throughout history the human body has been as an object of fascination to artists. Our bodies act as the sensory interface between our inner selves and the world we inhabit, and it is through the body that our experience of the world is mediated and understood. Yet this apparently straightforward relationship is complex. In many ways, the body is an overdetermined cultural object, subject to a set of shifting sociocultural, psychological, aesthetic and scientific values which complicate and destabilize its status. The twentieth century experienced what has been described by historians as a ‘corporeal turn’ as advances in psychology, sexuality, anthropology, medicine and politics fundamentally transformed the sociocultural status of the body. The sustained attention paid to the body by artists in the twentieth and early twenty-first centuries reflected this sociocultural shift. Not only was corporeal representation at the forefront of avant-garde practice, but, by mid-century, the body itself had become the medium as performance-based practice and video art transformed the nature of art making. This course will provide a thematic overview of the body in visual art in the period 1900-2000 by exploring corporeal representation in a variety of modern and contemporary artists, ranging from Antonin Artaud to Bill Viola.

The course will explore the diverse range of ways in which the body has been represented in visual art in the period c.1900 – 2000. It will provide a thematic approach to understanding the various ways (socio-political, medical, aesthetic and cultural) in which the body has appealed to artists, paying particular attention to the central role the body plays in artistic and cultural discourse as an object of knowledge that is an once personal and subjective yet also institutionalised and objective. The course will examine how the twentieth century revolutionised the human body and its representation. It will show how developments in politics, medicine, sexuality, technology and culture reshaped artistic interpretations of the body and its socio-cultural meanings. Students will gain an understanding of how artists use the body to express ideas about (among others) aesthetics, the self, society, healthcare and mortality. Students will also acquire knowledge of different aesthetic, historiographic, sociological and interdisciplinary approaches to studying the body in art.

This module is available to incoming Study Abroad and Exchange students studying Fine Art. Incoming Study Abroad and Exchange students primarily studying other disciplines are not able to take this module as an outside subject.",,,,,,"1. Lectures: to allow definition of the scope of the syllabus, an introduction to a body of knowledge, and modelling of the level and nature of the analysis required. PIP lectures will be supplemented with online material (in the form of pre-recorded lecture materials, relevant videos, etc.) to make the module content more accessible, manageable and digestible. 

2. Seminars: to encourage interaction and the development of cognitive and key skills; to allow preparation and presentation of directed research on specific issues and case studies. Seminars help to foster collegiality among the cohort and are an important supplement to the teaching delivered by group discussions.

3. Canvas discussion groups: to allow for more innovative, interactive and cross-curricular teaching.

Nb. In person lectures and seminars can move to synchronous and asynchronous online delivery as required in response to pandemic-related restrictions.","The essay affords the student the opportunity to conduct academic research into a topic of their choice relating to the module content, with the question(s) set by the module leader. The questions encourage students to engage closely with the key topics, critical ideas and practices studied on the module curriculum. The assessment will be supported by critical discussions undertaken during the seminars and/or discussion boards. The assignment is designed to develop critical thinking, the ability to develop an argument, writing skills, visual analysis and theoretical comprehension. 

The Case Study written exercise offers students the chance to hone writing and analytical skills in advance of the essay in a formative and less pressurised context. The formative nature of the assessment will permit faster feedback, allowing the case study analysis to feed fully into the summative essay.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/sacs/,
University of Newcastle,NU,Arts and Cultures,Introduction to Digital Cultures,20,Dr Nick Rush-Cooper,"• To introduce students to theories and issues relevant to Digital Cultures, related technologies and media, and their contexts.
• To equip students with the critical and analytical skills to enable them to examine the sites, practices, materials and contexts of Digital Cultures.
• To promote and develop scholarly and practical strategies for self-supported learning, including in an interdisciplinary context.

This module serves as an introduction to the study of “Digital Cultures”. Digital Cultures is understood to include (but is not limited to) digital and online technologies and platforms, their everyday use by individuals, their use by companies, organisations, government and other groups, the communities, art cultures, media, formed with and through digital and / or online technologies. Throughout there will be a critic focus on questions of power, politics and social relations in relation to digital technologies, media and cultures.

This module serves to provide students with an introduction to the interdisciplinary theoretical, conceptual and analytical approaches used to critically examine Digital Cultures, their sites, practices, materials, politics and contexts.",,,,,,"Lectures will present relevant theories and concepts in the area of Digital Cultures

Small Group teaching and Workshops will developing lecture topics and practising critical application of theories and concepts. Sessions will emphasise the relevance of theories of Digital Cultures by exploring contexts.

Grounding students’ future capacity to integrate theory and practice by presenting a range of relevant theoretical approaches and developing their ability to compare them. 

Directed research and reading will increase students’ familiarity with core texts and relevant projects supporting their knowledge of sites, contexts and futures in Digital Cultures. This will include set readings, accompanied by reading guides to familiarise students with academic texts and to develop reflective and critical approaches and suitable note-taking practices.

One day of field work will take place in Newcastle. This will consist of group tasks examining the role of digital technologies in everyday urban spaces.","The short essay requires that students reflect on and offer a critical response to an issue in Digital Cultures with reference to and the application of relevant theories and concepts they have encountered as part of the module. The short essay will require that students draw from lectures, workshops, the fieldtrip and readings.

The final, critical essay requires that students construct an argument around an issue or theme covered in the module. Questions will be provided.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/sacs/,
University of Newcastle,NU,Arts and Cultures,Introduction to Professional Communication,20,Mrs Anne-Marie Lacey,"1. To introduce students to themes, issues and ideas involved in media and communications industries.
2. To allow students to learn from a structured analysis of, and reflection on, communication strategies.
3. To enable students to develop basic key skills through practical exercises. 
4. To familiarise the student with the theories and practices underpinning professional communication processes.

This module provides students with an introduction to how information can flow from media and communication industries to its various audiences and stakeholders. Through an understanding of a range of practices, such as public relations, advertising, sales promotion and direct marketing, students will be exposed to the various communication channels, and will start to understand which communications techniques work best in which situations. The module culminates in studying how to integrate the different communications media together to get the best possible results.",,,,,,"Students will have the opportunity to develop their knowledge and understanding about both the theory and practice of communication within a professional context. Each session provides an introduction to the underlying theories and concepts of a specific marcomms area, with an exploration of how well, or not, these are articulated in the everyday world. Students will be expected to research and discuss current communication campaigns, in class, online and in their own assessment tasks.","Students will be required to select current communications campaigns and analyse in terms of intended audience, message and channel using the key themes of rhetoric, language, and other communication materials (such as logos, signs, photos etc).  This will allow students to show their understanding of how theoretical communication models are used in practice.

The second assessment, the take-home case study, will assess whether students have understood both the range of, and integrated use of, communications tools available by providing them with a case study and asking them to select and justify which media they will use to solve a particular communications need.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/sacs/,
University of Newcastle,NU,Arts and Cultures,Film Theory for Practice 1: What is cinema?,20,Dr Raisa Sidenova,"Film Theory for Practice I will offer an overview of major film theories and explore the relationship between theory and practice. By presenting the debates around cinema from its birth to the present day, this module will allow for a serious engagement with form and creativity that will develop the practice.

Film theory encompasses questions about film’s relationship to reality and the world, to style and technique, and to politics and ideology. This module will chart out the history of ideas concerning cinema as well as discuss historical context of various film movements and film manifestos from around the world. Particular attention will be paid to filmmaker-theorists who triggered a new theoretical take or exemplified a theoretical stance. Addressing André Bazin’s foundational question “What is Cinema?”, this module will introduce students to such topics as formalism, realism, documentary film theory, Marxism, feminism, race, cultural identity, semiotics and structuralism, and non-Western approaches to film theory.  

Aims:
1. To provide students with a critical survey of the principal authors and concepts in film theory.
2. To provide students with an insight into the aesthetic debates and their relationship to broader historical events and cultural movements.  
3. To provide students with an understanding of social forces and functions of cinema as an industry and a form of mass art.
4. To facilitate students to be able to write in a scholarly way about film, the cinema and society.

While this class does not have a pre-requisite, it requires interest in cinema and knowledge of the basics of film history and film analysis.",,,,,,"Following the Planning Assumptions for Academic Year 22/23, this module will be delivered through a combination of online lectures and student-led seminars delivered in person. The combination of illustrated lectures to give a structure and context for learning, and reading-based discussion in seminars will enable students to have both the breadth and depth of understanding.","The rationale for the assessments is to enable the students to demonstrate their intellectual grasp of film theory and key concepts through writing 2 2000-word essays, submitted mid-semester and during the assessment period. They will be expected to draw on a range of film theorists and movements in order to demonstrate their knowledge and critical understanding of different and divergent critiques of film theory, the cinema and society.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/sacs/,
University of Newcastle,NU,Arts and Cultures,"Race, Culture and Identity",20,Dr David Bates,"This module aims:
• To explore the concept of ‘race’, its historical development and contemporary significance, with a particular focus on the intersections of ‘race’, class, gender and sexuality in media, popular culture and cultural studies. 
• To develop a critical understanding of racism in its myriad forms, drawing on cultural theory to analyse the social, cultural, political and economic forces involved in the reproduction of ‘race’ and racisms.
• To consider how people and groups are ‘racialised’ through discursive and social practices (including journalism and social media), and to assess the implications of these practices for racialized groups.
• To examine how ‘racial’ ideas and practices have been resisted, culturally and politically. 

This module provides students with the knowledge and skills necessary to discuss ‘race’ and racism in an informed, sensitive and critical fashion, making links between ‘race’ and other cultural identities based on class, gender and sexuality.  Drawing on theoretical perspectives developed within media and cultural studies, heritage, sociology, history, linguistics and anthropology, students will explore current debates around ‘race’, identity and popular culture through the prism of cultural theory.  They will learn about what ‘race’ is and where it comes from, and how racism can be seen as multiple, fluent and historically contingent.  Students will develop the skills to think and write about contemporary ‘race’ issues with diligence and precision, and will gain a critical understanding of the role played by media and popular culture in reproducing (and resisting) racist discourse.  With its focus on the theories and cultural practices of anti-racism, feminism, queer politics and class struggle, the module develops many of the themes explored in SACS’ one-year interdisciplinary module Freedom City: Social Justice through Culture and the Arts.",,,,,,"The lectures provide the backbone of the theoretical material, consisting of the key building blocks of knowledge and understanding, while seminars provide students with the opportunities to discuss key issues, theories, concepts and methods presented each week, using their own reading and media examples to better understand how current social issues have a racialised dimension. The combination of lectures and seminars enables the learning outcomes to be met.  These seminars will focus on discussion of scheduled readings and/or suggested film/video viewing (as directed in module handbook) as well as group work activities and debates set by the module leader.  Students will be encouraged to personally reflect on how ‘race’ is relevant in everyday life and will be encouraged to explore this by drawing on autoethnographic approaches which embrace the students’ own experiences.","The assessment methods offer students the opportunity to explore the main themes of the module in both a reflective and applied way. The 1,500-word Critical Case Study requires students to critically analyse a specific media/cultural text drawing on theories, ideas and themes discussed in the module. 

The 2,500-word essay requires students to develop an autoethnographic reflection on the module’s themes. In this way, students will develop the skills required to analyse cultural and media studies text through the lens of race and ethnicity, whilst critically reflecting on their own identities as racialised individuals in the world. 

Students will be given an opportunity to prepare for both assessments through participation in seminars, and contribution to the online discussion board, which will allow them to practice, and receive feedback on, their autoethnographic and critical thinking skills.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/sacs/,
University of Newcastle,NU,Arts and Cultures,"Sex, Sexuality and Desire",20,Dr Chris Haywood,"This module aims to develop students’ knowledge and interest in a wide range of issues and topics that surround sex, sexuality and desire. Fundamentally, the module aims to encourage students to apply a critical literacy to explore the knowledge, meanings and understandings in this area. Alongside this, it explores this field in a learning context that cultivates personal and academic development by offering intellectually exciting and challenging experiences. Furthermore, it aims to equip students with a knowledge and understanding of sex, sexuality and desire across, local and global situations and historical and contemporary contexts.  

As in the 19th and 20th centuries, ‘the sexual’ in the 21st century continues to fascinate, abhor, excite and astonish. For many societies in the northern hemisphere, sexuality has developed as a private and public erotic template that enables us to make sense of our own and others emotions, intimacies and passions. It is a form of eroticism that has, as Foucault (1980) suggests, come to designate the ‘truth of ourselves’; a conduit through which flows the essence of our human nature. On this module we argue that we are in a contemporary cultural context where finding out about sex, sexuality and desire is not simply about solving population problems, cures for sexual infections or improving our sex lives but has become a key part of our sexual selves. 

Therefore, this module reflects upon how sex, sexuality and desire are becoming central to the society we live in, the culture we consume and the self we identify with.  For example, there is a burgeoning selection of self-help guides that offer to reveal our secret sexual natures. There is also an increase in popular scientific explanations that suggest that evolution, genetics and DNA are the basis for our sexual behaviours. At the same time, popular television programmes provide ‘sex tips’ to a national audience, whilst email spam interrupts daily routines with revelations of how to optimize our sexual performances. Popular culture commends that we should all become experts in sexual knowledge and fluent in sex talk. It is in this context that the module locates itself. 

This module draws upon a wide range of perspectives and disciplines to offer students the opportunity to explore the impact of cultural contexts on some of the more intimate and private aspects of our lives. Thus, students from disciplines other than media, communication and cultural studies, will have the opportunity to draw upon their own disciplinary knowledge and understandings as well as that of existing social and cultural studies to reflect on sex, sexuality and desire.",,,,,,"The module involves different styles of teaching and learning in order to deliver the learning outcomes. The delivery of the module is based on the delivery of two-hour lectures. Supporting materials in the shape of the non-synchronous learning Sways will be provided to students fortnightly. These learning Sways may be supported by a number of different present-in-person activities that could include exploring reactions to videos, worksheet learning, unstructured drop-ins, creative practice and designing research projects. Not only are these designed to enhance student learning and reinforcement of the key ideas, themes and issues, the present-in-person activity designed to support students with the development of their portfolio assessment. The module will also offer focused support by offering an online drop-in session that will be scheduled at the end of the module. Finally,  the first three weeks provide the scaffolding for further, in-depth, discussion of sex, sexuality and desire. The module then requires students to watch a number of documentaries. These documentaries are required viewing in advance of the on-campus seminars. These documentaries will enable students to develop confidence and background understanding of a number of the themes being discussed on the module.","The essay will allow students to research and write about a specific area of sex, sexuality and desire. It is anticipated that this work will offer a detailed analysis and understanding of a variety of approaches in this area. Students will be expected to choose an essay title that corresponds to items of the syllabus. 

The portfolio will enable students to build up a body of work that will enable the module leader to evaluate student learning and strategically intervene to provide feedback on students' developing knowledge and understanding.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/sacs/,
University of Newcastle,NU,Arts and Cultures,Visual Culture,20,Dr Katie Markham,"Visual Culture is an innovative interdisciplinary module, which draws on theories and approaches from media and cultural Studies, fine art, film, memory studies and heritage. This module provides students with a grounding in the different disciplinary approaches to the visual and considers the way that our relationship to the visual has been shaped across time and space. 

The emphasis on this module is on visual culture as a form of communication. To this end, students will be expected to develop appropriate analytical skills in decoding and assessing different types of visual communication, using a variety of different methodologies. This module aims:
• To explore the concept of the ‘visual’, both as a mode of communication and an interdisciplinary field of study. 
• To provide students with a critical and comprehensive understanding of the role that visual communication plays in contemporary society, supported by an appreciation of the social and political histories of these acts of communication. 
• To recognise the visual as political, social and cultural in nature and to understand how contemporary politics and culture shape acts of visual communication.
• To introduce a range of modalities of accessing, researching and comprehending visual acts of communication, including the ability to discriminate between types of visual communication.",,,,,,"The lectures in the module will introduce students to various aspects of contemporary visual culture. The module will draw attention to the prevalence of visual acts of communication in everyday life and will offer strategies to enhance the understanding of such instances of communication. The examples of case studies will consolidate the appropriation of research methods that have applicability for an integrated approach to media studies, cultural studies and communication studies. Students will be constantly presented with the interdisciplinary implications of analysing visual culture and will be made aware of avenues for more in-depth study of the area. The module will review a wide range of aspects of visual instances (painting, photography, advertising, film, television, new media, design, architecture, urbanism), looking at the political, cultural and social contexts in which they are produced and interpreted.","The assessment methods offer students the opportunity to explore themes from the module and apply them in a theoretical and practical way. Essay 1 allows students to apply a theory or theme from the module to a visual text of their choice and use one of the methodological approaches from the module to generate an in-depth analysis of that text. This assignment is complemented by continued student participation in the online blog or discussion thread; students will be required to contribute to this thread over the course of the module, writing a minimum of 4 discussion posts responding to a theme or idea raised during the lecture, responding to each other’s posts and sharing examples of visual texts that relate to the lecture topics.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/sacs/,
University of Newcastle,NU,Arts and Cultures,Celebrity Culture,20,Dr Gareth Longstaff,"This module aims to:
1. Enable students to develop a critical and contextual understanding of ‘celebrity culture’ within the associated fields of media, culture and communication.
2. Allow participants to develop specialisms on the basis of specific interests (e.g. celebrity identity and identification; the representational and self-representational discourses of celebrity; celebrity and psychoanalysis; social media and celebrity; cultural/political economies of celebrity; ‘fans’ and audiences; celebrity and reality; celebrity death; celebrity and politics; intersectionality and celebrity; micro- and post-celebrity culture; celebrity influence, consumption and capital).
3. Encourage students to consolidate methodological and critical skills in studying practices, texts, epistemological, qualitative and quantitative material in the spheres of celebrity culture, media, communication and cultural studies.
4. Examine the rise of celebrity culture and the role of celebrities/stars both globally and locally.
5. Investigate and understand the culturally and temporally specific nature of ‘celebrity’ and fame and to develop critical resources allied to individual case studies of specific ‘celebrities’, cultural trends and practices.

The module aims to critically and theoretically investigate the construction and consumption of celebrity in the 20th and 21st centuries. It will do so by locating and mapping the paradoxical and contingent nature of fame, public and private selves and cultural visibility. The module will situate the conflicting and contrasting notion of ‘celebrity’ alongside established versions of celebrity identity and identification. By positioning the politics of the ‘ordinary’ social sphere against the ‘extraordinary’ world of celebrity culture, it will use literature and theories from the fields of media and cultural studies, critical theory and visual culture to evaluate and bring to bear contexts and case studies. The module will be organised around three key themes:
• Theoretical approaches to ‘celebrity culture’ and the media
• Celebrities, discourse, identity and representation
• Celebrity, consumption, capitalism and cultural change",,,,,,"The module aims to encourage the development and comprehension of contemporary themes and issues in the field of celebrity culture and media, communication and cultural studies. Theories of identity, representation and discourses of culture will be discussed in relation to historical and cultural context, consumption and production, media texts and cultural economies of fame. Non-synchronous sessions will introduce and develop ideas and present-in-person work allows students to consider and consolidate material in more practical detail. This will be combined with online discussion, independent study, and the development of key contexts and concepts by the individual to inform the mid semester timed assessment and the final summative essay.","The timed assessment will be submitted in week 8 and will test students' research skills, problem solving abilities, adaptability, and initiative.  In an allocated time slot students will have to show a broad and thorough understanding of specific research methods and theoretical approaches used in the area of celebrity culture and media/cultural studies, to apply these methods and to present their findings in an original, coherent, credible and convincing case study report.  The length of the report should be 1500 words.

The critical/theoretical essay will allow students to demonstrate analytical and critical skills, to develop their information literacy and to consolidate their writing skills.  They will demonstrate a thorough understanding of the chosen question, its applicability to other areas, its importance in developing research, as well as its limitations.  The length of the essay should be 2500 words.

This assessment fits well with the formative side of the module as well as encouraging students to engage with and reflect upon a contemporary academic field. Both assessments allow students to develop critical and evaluative skills and stresses the importance of working to deadlines and goals.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/sacs/,
University of Newcastle,NU,Arts and Cultures,Conflict and Crisis Reporting,20,Dr Florian Zollmann,"Conflicts and crises are significant features of contemporary democratic societies. How journalists and the media report on such events is crucial for public understanding and democratic decision making. Moreover, journalistic reporting has an impact on how conflicts and crises are managed by society. In fact, journalistic reporting may contribute towards conflict resolution. Building on the theoretical and practical understandings developed in stage 1, this module aims to develop students’ understanding of the societal role of journalism during times of conflict and crisis. Students will assess how ethical norms of professional journalism, such as ‘objectivity’ and ‘impartiality’, are realized when journalists report on contemporary wars, terrorist attacks or refugee crises. Furthermore, students will consider conflict and crisis reporting in the context of the political and economic organisation of the media industry and with reference to up-to-date scholarship. Additionally, students will, from a journalistic perspective, interrogate the contexts and histories of a range of contemporary conflicts and crises.  

More specifically, the module enables students:
- To analyse the relationship between journalism theory and journalistic practice in the light of conflict and crisis reporting.
- To obtain in-depth knowledge and understanding of the theories and practices of journalism in the context of national and international media reporting of conflicts and crises.  
- To build their understanding of ethical norms relevant to the media industry in order to be able to practice journalism and media work as ethical and reflexive professionals.
- To critically assess journalistic accounts of conflicts and crises in relation to theories and concepts that are relevant in media, communication and cultural studies.",,,,,,"The module interrogates the role of journalism and the media in democratic societies during times of conflict and crisis. The lecture materials introduce and situate the key academic literature on conflict and crisis reporting in media, communication and cultural studies. On the basis of a range of case studies and in the light of scholarship, important issues, concepts and reporting pattern will be elaborated. The weekly small-group seminars allow for further in-depth study of relevant literature, concepts and issues. Moreover, ethical problems in relation to conflict and crisis reporting will be analysed during small-group works, simulations and discussions. Scheduled online contact time (mainly drop-in surgeries but also webinars and Q&A sessions) will be offered for students to individually present course work to the tutor, obtain formative feedback and clarify questions. This will allow students to further reflect on and refine their work. Guided independent study time will be used to engage in reading, viewing/listening and study activities as well as to prepare and write the formative and summative assignments.","A summative essay assessment will ask students to evaluate a designated conflict or crisis in form of a case study. Students will apply theory and scholarship to interrogate journalistic or other media representations of the case. The essay assesses students’ ability to critically engage with theoretical and source material as well as their research, writing and referencing skills. This will enable students to engage with relevant theory and case study material and develop an analytical framework for the critical analysis of journalistic or other media representations of pertinent events and issues. A preparatory formative essay assessment enables students to develop a rationale for their summative essay and obtain feedforward.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/sacs/,
University of Newcastle,NU,Arts and Cultures,"Youth, Identity and Contemporary Media",20,Dr Sarah Hill,"This module aims to develop students’ understanding of textual and discursive approaches to media representation in relation to youth identity through analyses of a range of contemporary media texts. The module places emphasis on intersectional approaches to youth identity such as gender, race, LGBTQ, class and disability. While the primary focus is on representations of youth identity, this module will also explore how young people are positioned as consumers and producers of contemporary media. By the end of the module, students will be able to critically analyse how discourses of youth identity are mediated within a range of contemporary media texts, and how these discourses circulate within media culture and more broadly in society.",,,,,,"This module aims to develop students’ knowledge of, and ability to critically analyse, how youth identities are constructed and represented in contemporary media. The teaching methods are designed to facilitate these aims and learning outcomes. The non-synchronous lectures will introduce students to the key theoretical concepts and tools needed to analyse media texts in relation to youth identities and provide a range of contemporary examples. The small-group teaching enables critical engagement with the key ideas where students are encouraged to draw on their own examples in preparation for the assessment.","The critical discussion prepares students for their final essay as an ability to critically analyse media texts in relation to key themes is a central component of the assessment. The comments function to encourage students to engage with their peers and further their understanding. The critical discussion assessment also requires students to communicate ideas clearly and succinctly for an audience, which has broader links to employability.",https://www.ncl.ac.uk/,http://www.ncl.ac.uk/mobility/experience-newcastle/humanities/sacs/,
